engine_display,H₂O,NOx,Contrail (CoCiP),Non-CO₂ (Contrail CoCiP),CO₂,CO₂,Total (Contrail CoCiP) Conservative,Total (Contrail CoCiP) Optimistic
CFM1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFM2008,0.0,0.003896148555521921,-62.89427404310077,7.0819871427678285,0.0,0.0,4.9474062113414226,4.9474062113414226
GTF,-15.73170948827192,-11.024830628677691,-31.793102053799398,-7.562850006992111,-15.754945548512502,-15.754945548512502,-9.546900456786476,-9.546900456786476
GTF2035,-22.109949363473426,-3.4795288066300785,-33.360223390843224,-1.0060463717222103,-22.148405938622552,-22.148405938622552,-3.4201872408911536,-3.4201872408911536
GTF2035 - 20,-20.804602725237853,-3.961402540910677,-35.574264978880485,-0.48660464186240343,-24.05331460120916,-37.09730202136004,-2.9262473851949204,-3.521756425439646
GTF2035 - 100,-15.833111136521516,-5.841775075590425,-43.68978303936952,-1.3362954689020483,-31.63669588974292,-95.44209118091578,-3.913412830002784,-6.814597095501881
GTF2035WI,-28.732666536738222,-93.26667613319655,-37.77040734394638,-70.056525324812,-28.77255771426762,-28.77255771426762,-80.00663830888975,-80.00663830888975
GTF2035WI - 20,-27.538006215565925,-93.30040277121054,-40.797672803151414,-74.12834429110546,-30.51490099387267,-42.44917778525101,-78.37611017041951,-79.57864885251868
GTF2035WI - 100,-22.986465495006485,-93.43198151281568,-49.481104696064094,-75.072160993166,-37.450871162513636,-95.8297875573339,-77.38113235234863,-81.12123279694912
